student	right	BruteForce	ContextualGS	eol
student111	1	0.931	0.6972173	EOL
student111	1	0.931	0.6972173	EOL
student111	0	0.332155	0.053824	EOL
student111	0	0.4620763	0.5040582	EOL
student111	0	0.4760388	0.5857675	EOL
student111	1	0.4779515	0.6196388	EOL
student111	1	0.7532626	0.6810796	EOL
student111	1	0.8837443	0.6810797	EOL
student111	1	0.9171894	0.6810797	EOL
student111	1	0.9242299	0.6810797	EOL
student111	1	0.9256471	0.6810797	EOL
student111	0	0.9259297	0.6810797	EOL
student111	0	0.9255052	0.6810797	EOL
student111	0	0.9225344	0.6810797	EOL
student111	0	0.9026588	0.6810797	EOL
student111	0	0.8008947	0.6810797	EOL
student111	0	0.598175	0.6810797	EOL
student111	0	0.5003484	0.6810797	EOL
student111	0	0.4815365	0.6810797	EOL
student111	0	0.4787328	0.6810797	EOL
student111	0	0.4783323	0.6810797	EOL
student111	0	0.4782754	0.6810797	EOL
student111	0	0.4782673	0.6810797	EOL
student111	0	0.4782662	0.6810797	EOL
student111	0	0.478266	0.6810797	EOL
student111	0	0.478266	0.6810797	EOL
student111	1	0.478266	0.6810797	EOL
