Data,Predicted
Y,0.529956575
N,0.0001
N,0.0001
Y,0.432274926
Y,0.616129736
N,0.0001
N,0.253718861
Y,0.407991737
N,0.033500072
N,0.0001
N,0.0001
N,0.122598716
Y,0.462312565
Y,0.636183238
N,0.15793286
Y,0.525098812
Y,0.664147094
N,0.119070125
N,0.0001
Y,0.392602571
Y,0.614612375
N,0.0001
Y,0.616730864
Y,0.608618551
Y,0.669451092
N,0.0001
N,0.235920685
Y,0.480602525
Y,0.635614226
Y,0.391854656
N,0.0001
Y,0.171784877
N,0.204082013
N,0.0001
Y,0.382701189
N,0.170276811
N,0.46742213
N,0.0001
N,0.219946765
Y,0.440881918
Y,0.449594655
N,0.0001
Y,0.71216168
Y,0.419952203
N,0.0001
N,0.139149903
Y,0.455097673
Y,0.882282519
N,0.0001
N,0.0001
Y,0.505806915
Y,0.902558123
N,0.0001
Y,0.695310694
N,0.0001
N,0.0001
N,0.0001
N,0.0001
Y,0.272600363
N,0.082621314
Y,0.464395827
Y,0.618428958
N,0.534692101
N,0.317367673
N,0.0001
Y,0.442227556
N,0.312675623
N,0.0001
Y,0.48229638
N,0.022550871
N,0.332781055
Y,0.261599822
N,0.171541869
N,0.0001
Y,0.657273788
N,0.349638823
Y,0.728735209
N,0.0001
N,0.105249134
Y,0.293894261
N,0.072273469
Y,0.354570915
Y,0.410064204
Y,0.44739504
N,0.027614561
Y,0.881784332
Y,0.459467358
N,0.304315326
Y,0.922627318
Y,0.488731015
N,0.08180952
N,0.0001
Y,0.431488904
N,0.0001
Y,0.322131287
N,0.0001
Y,0.458514891
N,0.303006734
Y,0.267055728
Y,0.451880527
N,0.0001
Y,0.476867183
N,0.338357589
Y,0.49317765
N,0.0001
N,0.137388967
N,0.0001
N,0.419280027
N,0.0001
N,0.0001
Y,0.365977923
Y,0.683814368
N,0.104229766
Y,0.266574586
N,0.0001
Y,0.473696875
N,0.0001
Y,0.845870623
Y,0.485531138
N,0.029826583
N,0.222998412
Y,0.323085626
Y,0.143263659
N,0.065829181
N,0.509900073
N,0.218699182
Y,0.128101281
Y,0.66981003
Y,0.406257409
Y,0.588944898
N,0.0001
N,0.0001
Y,0.399266965
N,0.0001
Y,0.548846566
Y,0.432092622
N,0.035504595
Y,0.10334879
Y,0.354320931
N,0.081648827
Y,0.278592341
Y,0.159863424
Y,0.335276015
Y,0.317995478
Y,0.224255567
N,0.0001
N,0.280176324
N,0.220114854
N,0.0001
Y,0.50654723
N,0.186054882
Y,0.736719984
Y,0.420956699
Y,0.150595767
Y,0.622305524
Y,0.551062046
Y,0.677161834
N,0.41150115
N,0.007920189
Y,0.734031477
Y,0.562884889
Y,0.471643698
N,0.0001
N,0.013878532
N,0.097310849
N,0.193405543
Y,0.857663779
N,0.293717137
N,0.087031781
N,0.157869878
Y,0.59291082
Y,0.25365872
Y,0.698096232
N,0.114082837
N,0.357157697
N,0.0001
Y,0.822196311
Y,0.253924476
N,0.087396663
N,0.21784532
Y,0.416080847
Y,0.295490847
N,0.057390894
Y,0.600339658
N,0.030259019
N,0.0001
Y,0.707060218
Y,0.397500996
Y,0.504801327
N,0.024271651
N,0.0001
N,0.0001
N,0.209848201
N,0.0001
N,0.0001
N,0.0001
N,0.04784182
N,0.278783048
Y,0.476560849
N,0.249272095
N,0.046025145
Y,0.786108381
N,0.058610238
Y,0.485684526
N,0.0001
N,0.0001
N,0.080430574
Y,0.344370136
Y,0.658694756
N,0.0001
N,0.0001
Y,0.439160045
N,0.0001
Y,0.522014866
Y,0.859105664
N,0.0001
N,0.437496173
N,0.0001
N,0.0001
N,0.526884013
N,0.0001
Y,0.214610903
N,0.0001
N,0.016401764
N,0.0001
N,0.0001
N,0.241970477
Y,0.695495837
N,0.317032673
Y,0.607299397
Y,0.548803481
Y,0.33344099
Y,0.559900239
N,0.208394223
Y,0.374677024
Y,0.691080187
N,0.320086813
Y,0.711199976
N,0.194466238
N,0.233666338
Y,0.700126118
Y,0.692227304
N,0.0001
N,0.331453804
N,0.046248195
N,0.013222694
Y,0.306499687
N,0.149594568
N,0.0001
N,0.053380806
N,0.0001
N,0.0001
N,0.023008113
N,0.0001
N,0.0001
N,0.229674723
N,0.0001
N,0.0001
Y,0.321182671
Y,0.428749642
Y,0.566150251
N,0.0001
Y,0.511773068
Y,0.596826633
Y,0.823276811
N,0.524878327
Y,0.386924324
Y,0.747610463
N,0.190618533
Y,0.460864335
Y,0.785706276
Y,0.459875204
N,0.0001
N,0.254958384
Y,0.185463342
N,0.035334286
N,0.075808253
Y,0.854482472
Y,0.914284326
Y,0.212628439
Y,0.265490188
N,0.0001
N,0.0001
N,0.0001
N,0.295387804
N,0.405498812
N,0.0001
N,0.0001
N,0.0001
N,0.0001
Y,0.611449556
N,0.526792533
N,0.0001
N,0.133207602
N,0.0001
N,0.0001
Y,0.300581865
Y,0.158833098
N,0.005364351
Y,0.62159008
Y,0.453849922
N,0.187174104
Y,0.866807928
Y,0.806227147
N,0.0001
Y,0.362711419
Y,0.43583843
N,0.0001
Y,0.602603798
Y,0.663746571
N,0.199855035
Y,0.722291116
Y,0.406066934
N,0.331255266
N,0.104007554
Y,0.765300649
Y,0.209248341
N,0.0001
N,0.121066031
N,0.03341763
N,0.0001
Y,0.610553932
N,0.0001
N,0.052303161
N,0.077363827
Y,0.405943411
N,0.065796284
N,0.162271252
N,0.169449634
N,0.0001
Y,0.779449556
Y,0.19624205
N,0.294631095
N,0.291751597
N,0.0001
N,0.0001
N,0.013072464
Y,0.517111032
N,0.0001
Y,0.365286909
Y,0.46479032
Y,0.230558948
Y,0.417642527
Y,0.449738427
Y,0.264059427
Y,0.695118223
N,0.090090211
N,0.154512044
N,0.039469784
N,0.0001
N,0.0001
Y,0.735186954
Y,0.256441841
Y,0.106400168
N,0.165173342
Y,0.53432136
Y,0.642590241
Y,0.493018827
Y,0.70583896
N,0.0001
N,0.202781829
Y,0.971718293
N,0.0001
N,0.0001
Y,0.418778437
N,0.0001
N,0.169709239
N,0.0001
Y,0.769994131
Y,0.5753103
N,0.232768014
Y,0.133646896
Y,0.553130877
Y,0.279022074
Y,0.751445026
Y,0.421113498
N,0.0001
Y,0.487873541
N,0.03316964
Y,0.451994726
N,0.158025789
Y,0.454016039
N,0.0001
N,0.0001
Y,0.472813314
Y,0.527048191
Y,0.947359869
N,0.0001
Y,0.729952878
N,0.0001
Y,0.712574396
N,0.0001
N,0.250259731
N,0.0001
N,0.174528678
N,0.0001
Y,0.318162899
Y,0.197255877
Y,0.439948842
N,0.0001
Y,0.151991212
Y,0.422560972
Y,0.403602741
Y,0.851536446
N,0.0001
Y,0.312774584
Y,0.500420116
N,0.24236253
Y,0.766122181
Y,0.683882082
N,0.0001
Y,0.33215044
N,0.135521792
Y,0.729956278
N,0.375581592
Y,0.224688697
Y,0.12008483
Y,0.612192195
Y,0.726500396
Y,0.554846858
Y,0.138862007
Y,0.498733144
Y,0.133926581
N,0.019771907
N,0.0001
N,0.0001
Y,0.418526176
N,0.0001
Y,0.693800082
Y,0.094795326
Y,0.925085811
N,0.15195066
Y,0.788710019
N,0.0001
N,0.0001
N,0.297479909
Y,0.290528007
Y,0.601438588
N,0.0001
Y,0.353469645
Y,0.408118578
Y,0.538191918
Y,0.253631898
N,0.0001
Y,0.526085645
N,0.0001
Y,0.460109653
Y,0.775072288
N,0.0001
Y,0.489153238
N,0.0001
N,0.0001
N,0.034608624
Y,0.411143627
Y,0.403309021
Y,0.690479379
Y,0.58645295
Y,0.703471435
N,0.240645419
N,0.317348965
N,0.0001
N,0.0001
Y,0.479985015
N,0.051663453
N,0.151098679
Y,0.400885126
Y,0.669478979
N,0.0001
N,0.084509219
N,0.104969007
N,0.202747595
N,0.0001
Y,0.248550676
Y,0.736360718
Y,0.507362049
Y,0.45185447
N,0.170658129
N,0.0001
Y,0.492524913
Y,0.863828983
Y,0.505563511
Y,0.855626349
Y,0.214503677
Y,0.667043014
N,0.04338791
N,0.268321785
N,0.163068649
N,0.032860214
Y,0.432603468
N,0.050831568
Y,0.282183637
Y,0.497255402
Y,0.507714476
N,0.048046271
N,0.302599739
Y,0.552843342
N,0.0001
N,0.0001
N,0.045763161
N,0.0001
Y,0.35923354
Y,0.275079272
Y,0.490030294
N,0.093214431
Y,0.33982672
Y,0.228286029
N,0.173078966
N,0.24842934
N,0.0001
Y,0.215257771
N,0.10263881
Y,0.609961692
Y,0.153339016
N,0.040604182
N,0.0001
Y,0.420378131
N,0.035050649
N,0.0001
Y,0.956775757
N,0.312246201
N,0.0001
Y,0.619621516
N,0.062474506
Y,0.83682199
N,0.0001
N,0.0001
N,0.087984095
Y,0.513109824
Y,0.168519626
N,0.0001
N,0.0125382
Y,0.623915238
N,0.299362197
Y,0.700795017
Y,0.639515816
N,0.0001
Y,0.423247208
Y,0.314171344
N,0.0001
Y,0.675042884
Y,0.858816065
N,0.0001
N,0.262590264
N,0.107755031
Y,0.642963514
Y,0.684925359
Y,0.439486907
Y,0.474113532
Y,0.248236629
Y,0.573986919
N,0.015263223
Y,0.65455098
Y,0.699771428
