eth	6_10000005	6_100000485	6_100002087	6_100002903	6_100004086	6_100005775	6_10000593	6_100006244	6_100007023	6_100008089	6_100008287	6_100010603	6_100011119	6_100011512	6_100013693	6_100014462	6_100016115	6_100016240	6_100018037	6_100019957	6_100022125	6_100022617	6_100023574	6_100023604	6_100024561	6_100025000	6_100025778	6_100026256	6_100027219	6_100027425	6_10002841	6_100029028	6_100031037	6_100035437	6_100035849	6_100036429	6_100036452	6_100037266	6_10004101	6_100041471	6_10004376	6_100044745	6_100045602	6_100046845	6_100046933	6_10004820	6_100051818	6_100052699	6_100052886	6_100053112	6_100053560	6_100053621	6_100053626	6_100053777	6_100054245	6_100055829	6_10005664	6_100056899	6_10005707	6_100058932	6_1000604	6_100060761	6_100062766	6_100063243	6_10006415	6_10006520	6_100066553	6_100068573	6_100068606	6_100068895	6_100071255	6_100071658	6_10007456	6_100076389	6_10007664	6_100077939	6_100079774	6_100080204	6_100080370	6_100080929	6_100080944	6_100081370	6_100081441	6_100082085	6_100082384	6_100082983	6_100083583	6_100083808	6_100085659	6_100087282	6_100087381	6_100087475	6_100087783	6_100087866	6_100087920	6_100088268	6_100088872	6_100088902	6_100088946
YRI	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	?	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1	0	1	1	0	1	0	1	0	0
YRI	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	?	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	?	1	0	?	0	0	0	?	1	0	1	1	0	0	0	0	0	1
YRI	?	0	0	0	1	?	1	0	0	0	0	?	0	1	1	0	?	0	0	0	?	?	0	0	0	0	1	1	1	?	0	0	?	0	1	0	0	0	0	0	0	0	0	0	0	?	0	0	1	0	1	?	0	1	0	1	1	1	1	0	1	?	?	0	?	0	?	?	?	0	0	0	1	?	0	0	1	0	1	?	0	?	?	0	1	?	0	0	1	?	0	0	?	0	?	0	0	0	0
YRI	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	?	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0	1	0	1	0	1	1	1	?	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
YRI	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	?	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YRI	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
YRI	?	0	0	0	1	?	0	0	0	0	0	?	0	0	1	0	?	0	0	0	?	?	0	0	0	0	0	1	0	?	0	0	?	0	0	0	0	0	0	0	0	0	0	0	0	?	0	0	1	0	0	?	0	0	0	0	0	1	0	0	0	?	?	0	?	0	?	?	?	0	0	1	0	?	0	1	1	0	0	?	0	0	?	0	1	?	0	0	0	?	0	0	?	0	?	0	1	0	0
YRI	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
YRI	1	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GIH	0	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0
GIH	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
GIH	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
GIH	1	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0
GIH	1	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	?	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1
GIH	1	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0
GIH	1	1	0	0	0	1	0	1	0	1	0	?	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0
GIH	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ASW	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0
ASW	1	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0
ASW	1	1	1	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0
ASW	1	1	1	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0
GIH	1	1	0	0	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0
GIH	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ASW	1	1	1	1	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	?	0	0	0
ASW	1	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0
JPT	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0
JPT	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1
ASW	1	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	?	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0
ASW	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1
ASW	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	?	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0
ASW	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	?	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1
JPT	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0
JPT	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0	1	0	0	1	0	1	0	1	0
ASW	1	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1
JPT	1	0	0	0	0	0	0	0	0	0	0	1	0	0	?	?	1	0	?	0	1	0	0	0	0	?	?	?	0	1	?	0	0	0	0	0	0	0	?	?	?	1	0	0	1	0	?	?	?	?	0	1	1	0	0	0	0	?	1	?	?	0	0	1	0	0	1	?	1	0	0	0	1	0	?	?	?	?	?	1	1	?	1	?	?	0	1	1	?	1	0	?	1	?	?	1	?	?	1
JPT	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0	1	0	0	1	0	1	0	1	0
JPT	1	0	0	0	0	1	0	0	0	0	0	0	1	1	?	?	0	0	?	0	1	1	0	0	0	?	?	?	0	0	?	0	1	0	1	0	0	0	?	?	?	1	1	1	0	0	?	?	?	?	0	1	0	0	0	0	0	?	1	?	?	0	0	1	1	0	0	?	0	0	0	0	1	0	?	?	?	?	?	0	1	?	0	?	?	0	1	1	?	0	0	?	0	?	?	1	?	?	0
JPT	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1	?	1	0	1	1	1	1	1	1	0	1
JPT	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	1	0	0	1	0	0	1	0	1	0	1	0
YRI	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	?	1	0	1	1	0	1	0	1	0	0
YRI	1	0	0	0	?	0	?	0	0	0	0	0	0	0	?	?	0	0	0	0	1	0	0	0	0	?	?	?	?	0	0	0	0	0	0	0	0	0	0	?	0	0	?	0	0	0	0	0	?	?	?	1	0	?	0	?	?	?	0	0	?	0	0	0	1	0	1	1	1	0	0	0	0	0	?	?	?	0	?	1	0	?	1	0	?	0	0	0	?	1	0	?	1	0	?	0	?	?	0
YRI	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
YRI	1	0	0	0	?	1	?	0	0	0	0	0	0	1	?	?	0	0	0	0	1	1	0	0	0	?	?	?	?	0	0	0	1	0	1	0	0	0	0	?	0	0	?	0	0	0	0	0	?	?	?	1	0	?	0	?	?	?	1	0	?	0	0	0	0	0	0	0	0	0	1	1	1	0	?	?	?	0	?	0	0	?	0	0	?	0	0	0	?	0	0	?	0	0	1	0	?	?	0
YRI	1	0	1	0	?	1	?	0	0	0	0	0	1	1	?	?	0	0	0	0	0	1	0	0	0	?	?	?	?	0	0	0	1	0	1	0	0	0	0	?	0	0	?	1	0	0	0	0	?	?	?	0	0	?	0	?	?	?	1	0	?	1	0	0	0	0	0	1	0	0	0	0	0	0	?	?	?	0	?	1	0	?	0	0	?	1	0	0	?	0	0	?	1	0	0	0	?	?	0
YRI	1	0	0	0	?	0	?	0	0	0	0	0	0	0	?	?	0	0	0	0	1	0	0	0	0	?	?	?	?	0	0	0	0	0	0	0	0	0	0	?	0	0	?	0	0	0	0	0	?	?	?	1	0	?	0	?	?	?	1	0	?	0	0	0	0	0	0	1	0	0	0	1	0	0	?	?	?	0	?	1	0	?	1	0	?	0	0	0	?	1	0	?	1	0	1	0	?	?	0
YRI	0	0	0	0	?	1	?	0	0	0	0	0	1	1	?	?	0	0	0	0	0	1	0	0	0	?	?	?	?	0	0	0	1	0	1	0	0	0	0	?	0	0	?	0	1	0	0	0	?	?	?	1	1	?	0	?	?	?	0	0	?	0	1	0	0	0	0	1	0	0	1	0	0	0	?	?	?	0	?	1	0	?	1	0	?	0	0	0	?	1	0	?	1	0	1	0	?	?	1
ASW	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0
JPT	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0	1	0	0	1	0	1	0	1	0
CEU	1	1	0	1	1	0	0	1	1	1	1	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	1	?	0	?	0	0	?	1	1	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1	0	0	?	1	1	1	1	1	0	0	0	0	1	1	1	?	0	0	0	1	1	1	1	1	0	0
CEU	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	0	1	0	1	0	0	1	0	1	0	?	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	1	1	?	1	0	1	1	1	0	1	0	?	1
CEU	1	1	0	1	?	0	0	1	1	1	?	0	0	0	?	?	0	?	?	?	1	0	?	?	?	0	?	?	?	0	0	?	0	1	0	?	?	?	0	?	0	1	0	0	0	0	?	?	?	?	?	0	0	?	1	?	?	?	1	?	?	0	0	1	1	1	0	?	0	0	0	0	0	0	0	?	?	?	?	1	1	?	1	0	0	0	1	1	?	1	0	?	1	?	0	1	?	?	1
CEU	1	1	0	1	?	0	0	1	1	1	?	1	0	0	?	?	1	?	?	?	1	0	?	?	?	0	?	?	?	1	0	?	1	1	1	?	?	?	0	?	0	1	1	1	0	0	?	?	?	?	?	0	0	?	1	?	?	?	1	?	?	0	0	1	1	0	0	?	0	0	0	1	0	0	0	?	?	?	?	0	1	?	0	0	0	0	1	1	?	0	0	?	0	?	1	1	?	?	0
CEU	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	?	?	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
